ZIP,Total in Working Age,Less than high school graduate,Less than high school graduate~In labor force,Less than high school graduate~In labor force~In Armed Forces,Less than high school graduate~In labor force~Civilian,Less than high school graduate~In labor force~Civilian~Employed,Less than high school graduate~In labor force~Civilian~Unemployed,Less than high school graduate~Not in labor force,High school graduate (includes equivalency),High school graduate (includes equivalency)~In labor force,High school graduate (includes equivalency)~In labor force~In Armed Forces,High school graduate (includes equivalency)~In labor force~Civilian,High school graduate (includes equivalency)~In labor force~Civilian~Employed,High school graduate (includes equivalency)~In labor force~Civilian~Unemployed,High school graduate (includes equivalency)~Not in labor force,Some college or associate's degree,Some college or associate's degree~In labor force,Some college or associate's degree~In labor force~In Armed Forces,Some college or associate's degree~In labor force~Civilian,Some college or associate's degree~In labor force~Civilian~Employed,Some college or associate's degree~In labor force~Civilian~Unemployed,Some college or associate's degree~Not in labor force,Bachelor's degree or higher,Bachelor's degree or higher~In labor force,Bachelor's degree or higher~In labor force~In Armed Forces,Bachelor's degree or higher~In labor force~Civilian,Bachelor's degree or higher~In labor force~Civilian~Employed,Bachelor's degree or higher~In labor force~Civilian~Unemployed,Bachelor's degree or higher~Not in labor force
22026,8404,836,526,0,526,487,39,310,2072,1672,10,1662,1597,65,400,2550,2059,51,2008,1903,105,491,2946,2825,19,2806,2746,60,121
22027,1168,42,42,0,42,21,21,0,39,33,0,33,33,0,6,154,104,0,104,104,0,50,933,709,0,709,701,8,224
22030,31325,1816,1299,0,1299,1246,53,517,3296,2397,28,2369,2234,135,899,5160,3921,0,3921,3710,211,1239,21053,18597,231,18366,18108,258,2456
22031,20820,995,572,0,572,572,0,423,1581,1309,0,1309,1295,14,272,2833,2465,18,2447,2393,54,368,15411,13684,328,13356,13127,229,1727
22032,16227,538,292,0,292,292,0,246,1807,1456,0,1456,1376,80,351,2850,2261,27,2234,2111,123,589,11032,9663,206,9457,9153,304,1369
22033,22739,550,462,0,462,451,11,88,1733,1401,0,1401,1340,61,332,4283,3457,75,3382,3250,132,826,16173,14125,79,14046,13749,297,2048
22035,166,17,17,0,17,17,0,0,0,0,0,0,0,0,0,65,65,0,65,65,0,0,84,84,0,84,84,0,0
22039,9125,130,78,0,78,78,0,52,571,460,0,460,433,27,111,1165,909,0,909,909,0,256,7259,6064,170,5894,5649,245,1195
22041,15498,3308,2146,0,2146,2057,89,1162,2246,1707,0,1707,1596,111,539,2763,2364,0,2364,2313,51,399,7181,6427,40,6387,6073,314,754
22042,21140,2804,2345,0,2345,2147,198,459,3084,2430,0,2430,2341,89,654,3337,2906,20,2886,2833,53,431,11915,10774,117,10657,10347,310,1141
22043,14636,992,890,0,890,890,0,102,1326,826,0,826,774,52,500,2189,1875,0,1875,1792,83,314,10129,8677,118,8559,8382,177,1452
22044,7620,1287,1006,0,1006,1006,0,281,1300,955,0,955,949,6,345,917,695,3,692,620,72,222,4116,3610,46,3564,3411,153,506
22046,10198,391,320,0,320,320,0,71,959,805,0,805,789,16,154,1031,831,0,831,810,21,200,7817,7081,108,6973,6848,125,736
22060,4112,78,55,0,55,55,0,23,387,251,79,172,154,18,136,1667,1081,509,572,496,76,586,1980,1624,772,852,797,55,356
22066,8523,47,17,0,17,17,0,30,432,349,0,349,282,67,83,875,662,0,662,616,46,213,7169,5708,16,5692,5487,205,1461
22079,20561,1348,1058,0,1058,945,113,290,3488,2898,0,2898,2851,47,590,5149,4385,38,4347,4166,181,764,10576,9314,669,8645,8471,174,1262
22101,14514,283,217,0,217,217,0,66,261,179,0,179,165,14,82,1130,802,19,783,762,21,328,12840,10395,89,10306,10104,202,2445
22102,15525,288,218,0,218,218,0,70,618,449,0,449,309,140,169,1347,1105,0,1105,1040,65,242,13272,11521,56,11465,11107,358,1751
22124,9722,214,128,0,128,93,35,86,381,286,0,286,267,19,95,1111,836,0,836,821,15,275,8016,6984,7,6977,6905,72,1032
22125,567,0,0,0,0,0,0,0,75,72,0,72,72,0,3,195,189,0,189,166,23,6,297,270,0,270,267,3,27
22134,2553,60,29,0,29,24,5,31,572,517,352,165,165,0,55,757,591,344,247,236,11,166,1164,974,656,318,304,14,190
22150,14959,2295,1826,0,1826,1759,67,469,2866,2287,16,2271,2191,80,579,3556,3060,67,2993,2772,221,496,6242,5474,324,5150,5063,87,768
22151,9356,1458,1274,0,1274,1274,0,184,1430,1109,0,1109,1060,49,321,2003,1699,0,1699,1648,51,304,4465,4059,162,3897,3792,105,406
22152,15387,911,656,0,656,638,18,255,2043,1606,28,1578,1557,21,437,2947,2410,17,2393,2359,34,537,9486,8483,441,8042,7797,245,1003
22153,17128,834,643,0,643,520,123,191,1745,1484,29,1455,1284,171,261,3648,3010,80,2930,2739,191,638,10901,9685,347,9338,9111,227,1216
22172,6249,962,690,0,690,604,86,272,1120,902,0,902,797,105,218,1799,1328,19,1309,1229,80,471,2368,2085,100,1985,1935,50,283
22180,12901,507,374,0,374,363,11,133,806,610,0,610,610,0,196,1691,1283,33,1250,1199,51,408,9897,8758,62,8696,8530,166,1139
22181,7446,200,176,0,176,176,0,24,286,219,0,219,196,23,67,823,550,0,550,550,0,273,6137,5393,83,5310,5138,172,744
22182,13672,299,198,0,198,163,35,101,599,437,0,437,419,18,162,1499,1125,0,1125,1077,48,374,11275,9263,99,9164,8874,290,2012
22191,41500,5656,4204,0,4204,3665,539,1452,8722,7354,46,7308,6695,613,1368,11581,10271,315,9956,9403,553,1310,15541,14317,576,13741,13393,348,1224
22192,32176,2741,1662,0,1662,1527,135,1079,5786,4827,7,4820,4585,235,959,9576,7957,234,7723,7490,233,1619,14073,12472,433,12039,11857,182,1601
22193,45419,6459,4673,0,4673,4420,253,1786,9835,8271,28,8243,7734,509,1564,12957,11023,188,10835,10543,292,1934,16168,14168,368,13800,13437,363,2000
22201,27164,563,343,0,343,343,0,220,1046,714,0,714,661,53,332,1809,1399,33,1366,1291,75,410,23746,22382,214,22168,21771,397,1364
22202,18698,131,83,0,83,82,1,48,646,572,0,572,560,12,74,1609,1315,136,1179,1156,23,294,16312,15172,523,14649,14333,316,1140
22203,15946,706,649,0,649,609,40,57,906,676,0,676,667,9,230,1186,1038,0,1038,1001,37,148,13148,12125,107,12018,11745,273,1023
22204,33369,3308,2784,0,2784,2684,100,524,4199,3481,22,3459,3318,141,718,5218,4399,40,4359,4081,278,819,20644,19226,408,18818,18419,399,1418
22205,9987,475,425,0,425,362,63,50,772,681,0,681,597,84,91,854,661,0,661,661,0,193,7886,7120,112,7008,6933,75,766
22206,14583,768,662,0,662,661,1,106,578,429,0,429,401,28,149,1899,1578,59,1519,1463,56,321,11338,10576,400,10176,9985,191,762
22207,17494,388,134,0,134,134,0,254,1143,809,0,809,767,42,334,1520,978,0,978,962,16,542,14443,12667,176,12491,12316,175,1776
22209,9194,390,309,0,309,101,208,81,347,346,0,346,252,94,1,875,734,0,734,564,170,141,7582,6894,34,6860,6600,260,688
22211,261,6,0,0,0,0,0,6,43,38,38,0,0,0,5,108,82,63,19,19,0,26,104,94,82,12,12,0,10
