ZIP,Total in Working Age,Less than high school graduate,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree or higher,Cluster
24448,208,11,95,75,27,4
24450,6952,521,1630,1800,3001,2
24457,175,78,40,57,0,3
24458,117,2,57,23,35,4
24459,299,0,192,28,79,1
24460,517,12,315,152,38,1
24464,69,0,33,10,26,1
24465,427,46,139,131,111,4
24467,1321,46,496,121,658,2
24471,890,65,194,200,431,2
24472,990,85,665,87,153,1
24473,313,0,93,121,99,0
24474,241,20,113,79,29,4
24476,109,0,20,71,18,0
24477,5618,337,2276,1771,1234,4
24479,857,18,237,358,244,0
24482,2881,594,1240,599,448,4
24483,490,34,302,104,50,1
24484,316,10,152,108,46,4
24485,198,22,122,28,26,1
24486,1694,82,605,368,639,4
24487,229,0,154,21,54,1
24501,12181,1568,3715,4029,2869,4
24502,19040,1203,4071,6045,7721,0
24503,8481,340,1021,2042,5078,2
24504,4699,576,1502,1353,1268,4
24517,2714,271,1168,761,514,4
24520,1129,0,424,522,183,0
